[from, to, relation, date]
["62682190910", "22319008932", "SPOUSE", "2007-10-19"]
["27829673848", "19652613981", "SIBLING", "2016-03-16"]
["75670892400", "30422525320", "SPOUSE", "2000-04-07"]
["46519294740", "97321613111", "SIBLING", "2010-06-06"]
["89501156330", "19952263664", "SPOUSE", "1994-04-14"]
["87179915573", "80309559746", "SPOUSE", "1982-07-04"]
["87474057898", "89099625554", "PARENT", "2017-10-26"]
["82410881555", "22824903205", "PARENT", "1978-04-07"]
["89099625554", "42043377667", "SIBLING", "1973-03-02"]
["58814184889", "89099625554", "SIBLING", "1988-12-25"]
["81479111671", "90208511396", "PARENT", "1989-03-02"]
["97224291214", "72309449583", "SPOUSE", "1986-06-23"]
["67320326336", "81479111671", "SIBLING", "1971-09-01"]
["31937916488", "33471662463", "SIBLING", "2001-06-14"]
["90766043717", "71477117859", "PARENT", "1995-03-23"]
["16867894969", "19081257821", "OFFSPRING", "1972-10-16"]
["89099625554", "58814184889", "SIBLING", "1988-12-25"]
["30422525320", "89099625554", "OFFSPRING", "1978-02-06"]
["70232533224", "42043377667", "OFFSPRING", "1999-06-28"]
["80309559746", "93395191107", "SPOUSE", "2016-09-23"]
["86491215045", "48070356279", "SIBLING", "1970-03-01"]
["22319008932", "19652613981", "OFFSPRING", "2019-09-19"]
["65024499608", "67245716854", "SPOUSE", "2004-01-28"]
["87179915573", "76468328120", "SPOUSE", "2005-07-24"]
["10969146971", "31937916488", "SIBLING", "1998-06-12"]
["22824903205", "93325550487", "SPOUSE", "2017-07-07"]
["61082455547", "46091309461", "PARENT", "1978-06-27"]
["84320556439", "93325550487", "SIBLING", "2009-10-25"]
["51352605215", "19952263664", "OFFSPRING", "1996-10-11"]
["90208511396", "97321613111", "SPOUSE", "2008-03-14"]
["42043377667", "90766043717", "SPOUSE", "1975-03-14"]
["97321613111", "19652613981", "SPOUSE", "1999-08-01"]
["65024499608", "36405577647", "SPOUSE", "2008-10-05"]
["97321613111", "22824903205", "SPOUSE", "1987-11-08"]
["31744245149", "80309559746", "SPOUSE", "1995-12-04"]
["33446405930", "18536238376", "SPOUSE", "2004-04-09"]
["40119347287", "86491215045", "PARENT", "1976-09-21"]
["89099625554", "90766043717", "SPOUSE", "2007-10-25"]
["93325550487", "33553765741", "SPOUSE", "1994-12-23"]
["92637325775", "62682190910", "PARENT", "2012-04-11"]
["15292535857", "90792622874", "PARENT", "1980-07-02"]
["11825927551", "42167291116", "PARENT", "1975-08-05"]
["31744245149", "76465777888", "SIBLING", "2008-04-29"]
["74538292115", "39778750260", "PARENT", "2008-12-08"]
["60998193625", "90857258083", "SIBLING", "2011-12-13"]
["36191272611", "15292535857", "SIBLING", "1998-06-03"]
["99015504057", "85113697370", "SIBLING", "1978-06-28"]
["48070356279", "55789494292", "SPOUSE", "1989-08-28"]
["75311164356", "90766043717", "SIBLING", "1970-04-29"]
["82410881555", "18536238376", "PARENT", "1984-11-07"]
["90208511396", "31937916488", "PARENT", "1974-04-22"]
["84320556439", "87474057898", "SIBLING", "2011-06-25"]
["69191273419", "10318184959", "SIBLING", "2002-02-09"]
["51352605215", "75311164356", "SIBLING", "2002-08-05"]
["19769920845", "51074823863", "SPOUSE", "2001-06-10"]
["55059926183", "42043377667", "SIBLING", "2018-05-10"]
["40379122367", "46730468386", "SIBLING", "2000-03-20"]
["80309559746", "71477117859", "OFFSPRING", "1995-01-22"]
["19769920845", "90857258083", "SIBLING", "2009-07-20"]
["68457066061", "30422525320", "SPOUSE", "1970-05-19"]
["42167291116", "77888219035", "PARENT", "2001-06-11"]
["86491215045", "67245716854", "PARENT", "1982-12-07"]
["46519294740", "15292535857", "SIBLING", "2011-11-24"]
["76468328120", "19652613981", "SIBLING", "2001-08-15"]
["33553765741", "31744245149", "SPOUSE", "1985-12-25"]
["69191273419", "33446405930", "SPOUSE", "2009-11-26"]
["67245716854", "97321613111", "PARENT", "2013-12-27"]
["46730468386", "40379122367", "SIBLING", "2000-03-20"]
["50534322010", "36763226184", "SIBLING", "1992-09-25"]
["90792622874", "65024499608", "OFFSPRING", "1983-08-18"]
["75311164356", "47674564865", "SPOUSE", "1996-06-04"]
["85113697370", "48070356279", "SIBLING", "2010-01-18"]
["64675292699", "10969146971", "OFFSPRING", "1970-11-26"]
["45892798683", "71477117859", "SIBLING", "1973-07-10"]
["68243571508", "82526933183", "SIBLING", "2014-01-13"]
["93325550487", "36763226184", "SIBLING", "1984-04-13"]
["36405577647", "40119347287", "PARENT", "2008-07-23"]
["11825927551", "75670892400", "PARENT", "2005-01-18"]
["46730468386", "19769920845", "SIBLING", "2018-06-14"]
["15003722057", "81729767675", "SPOUSE", "2013-02-03"]
["92132521081", "75670892400", "SIBLING", "2012-04-15"]
["47674564865", "30422525320", "SPOUSE", "2001-07-14"]
["56564771843", "39778750260", "PARENT", "2009-02-17"]
["95975015130", "89099625554", "SIBLING", "2000-07-02"]
["69568323150", "88999167612", "SIBLING", "2011-01-12"]
["77888219035", "36763226184", "SIBLING", "1983-05-28"]
["40119347287", "81479111671", "SIBLING", "2015-07-14"]
["58814184889", "16867894969", "SPOUSE", "2010-03-22"]
["59095165555", "19652613981", "SPOUSE", "1975-12-22"]
["67245716854", "89099625554", "PARENT", "1976-11-20"]
["87474057898", "89501156330", "OFFSPRING", "2006-12-12"]
["47674564865", "88999167612", "SPOUSE", "1994-11-04"]
["77132792314", "80309559746", "SPOUSE", "1991-01-30"]
["58814184889", "76468328120", "SPOUSE", "1974-01-02"]
["76468328120", "56564771843", "PARENT", "2016-12-24"]
["45892798683", "90857258083", "PARENT", "2016-02-13"]
["90208511396", "60998193625", "PARENT", "1985-03-17"]
["46091309461", "57074933189", "SIBLING", "1986-08-30"]
["90766043717", "46519294740", "OFFSPRING", "1986-09-25"]
["93325550487", "31744245149", "PARENT", "1994-04-15"]
["55789494292", "60998193625", "SPOUSE", "2013-07-11"]
["69448536714", "60998193625", "PARENT", "1979-04-26"]
["36405577647", "55059926183", "SIBLING", "1972-12-12"]
["39778750260", "75670892400", "PARENT", "2005-11-17"]
["15292535857", "88999167612", "SPOUSE", "2008-03-19"]
["70232533224", "48070356279", "SPOUSE", "2017-10-27"]
["81729767675", "15003722057", "SPOUSE", "2013-02-03"]
["87118262521", "15003722057", "SIBLING", "1978-11-01"]
["18536238376", "33471662463", "SPOUSE", "1994-01-06"]
["85113697370", "90857258083", "SPOUSE", "2007-01-23"]
["69448536714", "19952263664", "SIBLING", "2005-07-03"]
["86778582069", "75899312417", "SPOUSE", "1990-04-28"]
["10318184959", "80309559746", "OFFSPRING", "2013-05-11"]
["31190689286", "93325550487", "SPOUSE", "2012-12-06"]
["58814184889", "92637325775", "SIBLING", "2002-02-02"]
["85113697370", "82526933183", "SPOUSE", "2018-08-23"]
["87474057898", "85113697370", "SPOUSE", "2014-02-23"]
["82410881555", "84320556439", "SIBLING", "2008-08-11"]
["87474057898", "87179915573", "OFFSPRING", "1997-09-29"]
["30937646422", "19769920845", "SIBLING", "1975-12-13"]
["90857258083", "22319008932", "OFFSPRING", "1995-09-08"]
["19081257821", "19652613981", "SIBLING", "1990-05-16"]
["46091309461", "75899312417", "SPOUSE", "1970-02-27"]
["30422525320", "87179915573", "SPOUSE", "2019-04-02"]
["46519294740", "75311164356", "SIBLING", "2007-07-06"]
["10969146971", "99015504057", "SPOUSE", "2017-01-27"]
["19769920845", "87118262521", "OFFSPRING", "2009-07-11"]
["16867894969", "80309559746", "OFFSPRING", "1996-12-08"]
["45892798683", "82526933183", "PARENT", "2000-06-29"]
["31937916488", "90792622874", "SPOUSE", "1977-04-08"]
["39778750260", "76465777888", "SIBLING", "1996-11-30"]
["58814184889", "65024499608", "SPOUSE", "2015-10-01"]
["80309559746", "48070356279", "SPOUSE", "2000-01-17"]
["76465777888", "39778750260", "SIBLING", "1996-11-30"]
["88999167612", "19081257821", "SIBLING", "1981-02-09"]
["56564771843", "49737196131", "SPOUSE", "1995-06-19"]
["75670892400", "69568323150", "SPOUSE", "1997-01-08"]
["68243571508", "49737196131", "SIBLING", "2017-10-09"]
["82410881555", "89501156330", "SPOUSE", "2003-03-07"]
["92637325775", "87179915573", "SIBLING", "1993-01-07"]
["76465777888", "92132521081", "SPOUSE", "2001-09-29"]
["40379122367", "33446405930", "SIBLING", "2000-01-02"]
["27829673848", "92132521081", "OFFSPRING", "1992-11-14"]
["48070356279", "81729767675", "OFFSPRING", "1972-10-28"]
["86491215045", "65024499608", "SPOUSE", "1986-06-02"]
["76465777888", "31744245149", "SIBLING", "2008-04-29"]
["18536238376", "87118262521", "OFFSPRING", "1992-02-09"]
["90792622874", "19081257821", "SIBLING", "1985-03-20"]
["90792622874", "30937646422", "SPOUSE", "2007-03-27"]
["69568323150", "30422525320", "SIBLING", "1982-09-14"]
["69448536714", "15003722057", "SIBLING", "1982-04-30"]
["40379122367", "33471662463", "SPOUSE", "1988-07-03"]
["40379122367", "18536238376", "PARENT", "1977-04-14"]
["33471662463", "36763226184", "SIBLING", "2008-10-31"]
["60998193625", "87118262521", "SIBLING", "2009-03-15"]
["51352605215", "57074933189", "PARENT", "2009-05-30"]
["68243571508", "27829673848", "SPOUSE", "1997-03-21"]
["74538292115", "82526933183", "SIBLING", "2006-07-18"]
["46730468386", "81041355243", "SPOUSE", "2008-04-22"]
["92132521081", "19952263664", "SIBLING", "2017-05-12"]
["72309449583", "97321613111", "OFFSPRING", "2001-07-16"]
["84320556439", "90792622874", "SIBLING", "2017-08-11"]
["50534322010", "31744245149", "SPOUSE", "2011-03-26"]
["80309559746", "76468328120", "PARENT", "1972-09-10"]
["46519294740", "16867894969", "SPOUSE", "2018-04-10"]
["21840356076", "85113697370", "SIBLING", "2004-07-05"]
["95975015130", "31190689286", "SPOUSE", "1974-10-16"]
["46519294740", "40119347287", "SPOUSE", "2018-05-18"]
["99015504057", "68457066061", "PARENT", "2002-09-11"]
["10318184959", "11825927551", "PARENT", "1982-06-02"]
["61082455547", "33471662463", "OFFSPRING", "1984-02-15"]
["42167291116", "62682190910", "OFFSPRING", "2015-08-17"]
["82526933183", "47674564865", "PARENT", "2009-04-14"]
["15292535857", "87118262521", "OFFSPRING", "1982-09-04"]
["65024499608", "90857258083", "SPOUSE", "2017-01-26"]
["36405577647", "22319008932", "PARENT", "2012-10-04"]
["95975015130", "15292535857", "OFFSPRING", "1974-03-22"]
["87179915573", "30422525320", "SPOUSE", "2019-04-02"]
["33471662463", "15003722057", "SIBLING", "1973-05-10"]
["36405577647", "15292535857", "SPOUSE", "1970-11-26"]
["30422525320", "89501156330", "SIBLING", "1995-11-10"]
["76468328120", "10969146971", "SPOUSE", "1987-09-11"]
["69568323150", "10969146971", "PARENT", "1978-12-30"]
["71477117859", "81041355243", "SIBLING", "2003-07-09"]
["11825927551", "90792622874", "PARENT", "2007-02-04"]
["21840356076", "99015504057", "SIBLING", "2017-12-15"]
["39778750260", "74538292115", "OFFSPRING", "2008-12-08"]
["84320556439", "10969146971", "PARENT", "2009-05-18"]
["81041355243", "40379122367", "OFFSPRING", "1999-10-01"]
["30937646422", "97224291214", "PARENT", "2016-07-03"]
["19081257821", "95975015130", "SIBLING", "2002-07-16"]
["87179915573", "92637325775", "SIBLING", "1993-01-07"]
["68243571508", "92637325775", "SPOUSE", "1976-10-14"]
["19952263664", "69448536714", "SIBLING", "2005-07-03"]
["30422525320", "16867894969", "SIBLING", "2000-04-25"]
["30422525320", "59095165555", "PARENT", "1989-11-24"]
["47674564865", "82526933183", "OFFSPRING", "2009-04-14"]
["60998193625", "40119347287", "SPOUSE", "2005-04-17"]
["46519294740", "67320326336", "SIBLING", "1998-12-26"]
["39778750260", "46091309461", "PARENT", "1998-12-01"]
["42043377667", "33471662463", "PARENT", "1978-07-14"]
["50534322010", "31190689286", "SIBLING", "2014-01-12"]
["31937916488", "10969146971", "SIBLING", "1998-06-12"]
["69191273419", "19652613981", "SIBLING", "2010-10-10"]
["36191272611", "69448536714", "SPOUSE", "2007-09-08"]
["90208511396", "62682190910", "SIBLING", "1986-02-12"]
["99015504057", "42043377667", "SPOUSE", "2010-12-31"]
["76465777888", "50534322010", "OFFSPRING", "1983-03-08"]
["82526933183", "95975015130", "SPOUSE", "2019-10-24"]
["36405577647", "82526933183", "SPOUSE", "1971-05-31"]
["97224291214", "68457066061", "OFFSPRING", "2010-09-22"]
["90766043717", "30422525320", "SIBLING", "2001-01-28"]
["19952263664", "47674564865", "SPOUSE", "1973-11-10"]
["74538292115", "46730468386", "PARENT", "1980-06-01"]
["77132792314", "30937646422", "SPOUSE", "1996-01-12"]
["18536238376", "33446405930", "SPOUSE", "2004-04-09"]
["30422525320", "75670892400", "SPOUSE", "2000-04-07"]
["89099625554", "93395191107", "SIBLING", "1999-10-19"]
["75899312417", "58814184889", "SPOUSE", "1987-12-08"]
["42043377667", "31937916488", "SPOUSE", "2015-02-15"]
["45892798683", "55059926183", "SPOUSE", "2005-06-18"]
["33446405930", "80309559746", "PARENT", "2012-03-18"]
["81479111671", "45892798683", "SPOUSE", "1978-05-25"]
["22319008932", "50534322010", "SIBLING", "2014-01-16"]
["39778750260", "90857258083", "SPOUSE", "1976-05-04"]
["27829673848", "74538292115", "PARENT", "1982-04-08"]
["18536238376", "86491215045", "SIBLING", "1997-03-28"]
["69191273419", "90792622874", "SIBLING", "2009-06-08"]
["56564771843", "81041355243", "SPOUSE", "1970-09-13"]
["92637325775", "75311164356", "SPOUSE", "2004-07-11"]
["75311164356", "46519294740", "SIBLING", "2007-07-06"]
["90792622874", "82410881555", "SIBLING", "2015-05-19"]
["30422525320", "90766043717", "SIBLING", "2001-01-28"]
["15003722057", "47674564865", "SPOUSE", "1985-10-29"]
["87118262521", "42167291116", "OFFSPRING", "2013-04-11"]
["33471662463", "42167291116", "SIBLING", "1980-01-21"]
["30422525320", "99015504057", "OFFSPRING", "1983-06-28"]
["70232533224", "75899312417", "SPOUSE", "2010-09-22"]
["40119347287", "82526933183", "PARENT", "1993-08-05"]
["30422525320", "45892798683", "OFFSPRING", "1970-10-28"]
["89501156330", "68457066061", "OFFSPRING", "1984-08-28"]
["19652613981", "57074933189", "SPOUSE", "1970-01-24"]
["46519294740", "21840356076", "OFFSPRING", "2003-01-05"]
["65024499608", "85113697370", "SIBLING", "2011-12-20"]
["62682190910", "90792622874", "PARENT", "1970-08-07"]
["51481148599", "68457066061", "PARENT", "1976-05-10"]
["89501156330", "87474057898", "PARENT", "2006-12-12"]
["58814184889", "93395191107", "SPOUSE", "2001-12-01"]
["99015504057", "48070356279", "PARENT", "2003-01-28"]
["87118262521", "87474057898", "SPOUSE", "1974-12-06"]
["90766043717", "42043377667", "SPOUSE", "1975-03-14"]
["55789494292", "33553765741", "SPOUSE", "1980-09-15"]
["49737196131", "76468328120", "SIBLING", "1978-12-17"]
["10969146971", "76468328120", "SPOUSE", "1987-09-11"]
["75670892400", "39778750260", "OFFSPRING", "2005-11-17"]
["33446405930", "15003722057", "PARENT", "1971-07-20"]
["51481148599", "19652613981", "SIBLING", "2005-04-15"]
["46730468386", "75899312417", "SPOUSE", "1976-01-04"]
["19952263664", "80309559746", "SIBLING", "1980-11-26"]
["19769920845", "18536238376", "PARENT", "1994-09-04"]
["27829673848", "46730468386", "SIBLING", "2000-08-25"]
["90857258083", "85113697370", "SPOUSE", "2007-01-23"]
["48070356279", "21840356076", "PARENT", "2018-04-11"]
["81729767675", "90857258083", "PARENT", "2010-05-13"]
["21840356076", "89501156330", "SPOUSE", "1998-01-19"]
["15003722057", "65024499608", "SPOUSE", "2006-01-10"]
["15003722057", "11825927551", "SIBLING", "1977-12-24"]
["51074823863", "21840356076", "OFFSPRING", "2001-10-02"]
["76465777888", "46730468386", "SIBLING", "2010-11-06"]
["46519294740", "90766043717", "PARENT", "1986-09-25"]
["57074933189", "22319008932", "OFFSPRING", "1982-08-27"]
["68457066061", "47674564865", "SPOUSE", "1984-04-19"]
["90766043717", "40119347287", "SIBLING", "2013-04-21"]
["81479111671", "75311164356", "SPOUSE", "1992-10-14"]
["39778750260", "46730468386", "SPOUSE", "2004-02-19"]
["67245716854", "80309559746", "OFFSPRING", "1997-02-23"]
["97321613111", "68243571508", "SIBLING", "1975-08-01"]
["86778582069", "46519294740", "SIBLING", "2018-11-08"]
["50534322010", "77132792314", "SIBLING", "1996-05-03"]
["72309449583", "11825927551", "PARENT", "1972-01-07"]
["89099625554", "19081257821", "SIBLING", "1974-10-11"]
["90792622874", "30422525320", "OFFSPRING", "1985-12-09"]
["75670892400", "11825927551", "OFFSPRING", "2005-01-18"]
["82410881555", "90792622874", "SIBLING", "2015-05-19"]
["87179915573", "51481148599", "OFFSPRING", "2011-05-14"]
["15292535857", "33446405930", "SPOUSE", "2013-07-30"]
["89099625554", "92637325775", "SPOUSE", "2004-10-16"]
["92132521081", "36763226184", "SPOUSE", "1998-03-15"]
["87179915573", "56564771843", "SIBLING", "1990-04-10"]
["46519294740", "77888219035", "SPOUSE", "2000-10-16"]
["46091309461", "68457066061", "OFFSPRING", "1984-06-15"]
["15292535857", "86491215045", "OFFSPRING", "1974-12-16"]
["75670892400", "36405577647", "PARENT", "1993-06-28"]
["16867894969", "74538292115", "SPOUSE", "2016-04-18"]
["87474057898", "75670892400", "SIBLING", "1988-05-16"]
["71477117859", "68457066061", "PARENT", "1979-03-06"]
["82526933183", "74538292115", "SIBLING", "2006-07-18"]
["67245716854", "65024499608", "SPOUSE", "2004-01-28"]
["31744245149", "81729767675", "SPOUSE", "1992-04-12"]
["10318184959", "92132521081", "SPOUSE", "2008-05-26"]
["60998193625", "27829673848", "SPOUSE", "1971-08-21"]
["15003722057", "80309559746", "SPOUSE", "2002-11-04"]
["42043377667", "68457066061", "SIBLING", "1991-10-24"]
["40119347287", "77132792314", "SPOUSE", "1973-06-10"]
["36763226184", "92132521081", "SPOUSE", "1998-03-15"]
["95975015130", "85113697370", "SIBLING", "2019-10-26"]
["75899312417", "57074933189", "SIBLING", "1977-09-07"]
["97321613111", "51074823863", "SPOUSE", "2011-04-29"]
["93325550487", "99015504057", "SIBLING", "1978-05-13"]
["61082455547", "51352605215", "PARENT", "1997-02-16"]
["93325550487", "88999167612", "SPOUSE", "1991-06-01"]
["81729767675", "31744245149", "SPOUSE", "1992-04-12"]
["89099625554", "30422525320", "PARENT", "1978-02-06"]
["27829673848", "68243571508", "SPOUSE", "1997-03-21"]
["33471662463", "10318184959", "PARENT", "1995-09-09"]
["60998193625", "22319008932", "SPOUSE", "2014-08-30"]
["18536238376", "40379122367", "OFFSPRING", "1977-04-14"]
["75899312417", "86778582069", "SPOUSE", "1990-04-28"]
["57074933189", "21840356076", "PARENT", "1972-06-11"]
["88999167612", "69568323150", "SIBLING", "2011-01-12"]
["46730468386", "68457066061", "SPOUSE", "1974-08-30"]
["64675292699", "19952263664", "SPOUSE", "1972-04-24"]
["45892798683", "68243571508", "PARENT", "1996-02-21"]
["81479111671", "71477117859", "SIBLING", "2015-05-11"]
["75670892400", "80309559746", "PARENT", "1970-05-27"]
["62682190910", "76468328120", "SPOUSE", "2008-05-17"]
["72309449583", "74538292115", "SIBLING", "1986-04-29"]
["51481148599", "39778750260", "SIBLING", "1981-03-21"]
